id,int_id
100029319780,38010
100000368698,56358
600002756002,37441
100023642239,42759
100024265694,19746
100023256960,32718
100027112771,32206
100023256964,12024
100027112775,28499
100023439659,9740
100027496811,17658
100000084137,44183
600001227472,6329
600001227470,34441
600003106798,35655
100022954523,55808
600001139648,45718
600001227474,23155
100028915229,19856
100028135541,25206
100000497116,27748
600004674118,6681
100001285772,24463
100023632400,56134
100028135548,15274
100000497119,10544
100026101987,28823
600000813233,24959
100026249536,11530
100026101730,19167
100000495989,56363
100026249538,8921
100026249539,3181
100023385392,51978
100027153262,42846
600000649917,46942
600000649916,5112
100029127520,44080
100023380454,52267
100027101826,59261
600000981290,2980
600003660884,3022
100024339182,35514
100023347575,9734
100000415695,12301
100000415696,39652
100000415690,48542
100000415691,23550
100000415693,36296
100028842771,28559
100023624020,56133
100023624021,42455
600001324019,24102
100022817007,33647
600001082107,22564
100026965854,60177
100026022380,21849
100026442440,34946
100023654745,37263
100029088209,44079
100026331128,17329
100022880013,29965
100023347688,43078
100027155697,48075
100026860394,53849
600001571353,54818
100024215920,20901
100029051719,14973
100026823996,39485
100024937860,26348
100026823992,50447
600002416134,54830
100027155698,12449
100027155699,47780
100025370250,44611
100025370257,40951
100000084136,22013
600002494744,55136
100025370258,56473
100022771245,25063
600004364332,2706
600001227477,42630
100000017772,18734
100022730645,45
100022730644,40269
100022730641,50985
100022730640,1287
600004664177,22628
100023197859,33355
100025347798,23052
600004265850,58793
100023250521,20293
100027028922,46565
100024342429,30025
600004101503,15669
100000063940,42695
100025486748,50741
100028324140,52988
100000497110,7906
100026824171,15528
100023473062,5858
100029020844,28568
600000122188,5101
100028135544,56234
100028995775,27950
100023081948,22992
100000080936,46110
100022918506,18795
600004751616,33280
100028479544,42580
100013213172,28369
100013213174,23878
100013213177,42082
100027691451,1101
100027691450,28194
100027691453,15870
100027691454,16162
100029198701,5693
100029198700,9590
100029198703,5694
600000066096,11029
100025424307,42801
100029198706,24071
100029198708,5417
600004674112,41427
100028135443,53579
600004467971,3034
100024255518,5586
100024267870,58063
100024255517,15165
100026101737,27248
100023848333,58342
100023848335,49439
600002220634,49627
100026907346,32198
100027729350,22495
600004454866,24734
100029128184,23128
100028429590,55966
100028804675,37393
100025304628,53509
100028792091,53310
100028103314,5662
600000158990,56890
600003614823,35391
100024986008,11795
100028282347,1114
100027796653,9855
100026372238,52661
100024986005,1032
100000371167,42056
100024986007,41245
100024986000,11506
100024778126,48027
100028790825,27943
100028440147,56846
100023981717,26929
100029314436,47509
100026605861,4725
100026104459,50120
100026104458,9804
100023441044,45207
100026104455,26077
100026104454,15516
100026104452,1053
600004583661,46702
100028210463,12803
100000580715,21111
100000580717,36599
100027415746,25798
600002758156,36844
600002758157,14126
100025452117,39458
600001067285,56897
100025452111,9217
100025981987,39465
100025452113,32491
100025452112,45927
600002758158,10212
100022977669,2783
600000415789,3573
600002588794,5144
600001003235,2065
100000083354,15078
100023383534,40296
100002141002,6431
100024853336,29703
100024853334,41858
600003011568,28935
100016182464,23249
100029501685,24665
100024248836,52306
100027538425,41293
100024248834,14557
100027538427,32528
100028508055,2016
100028508054,19242
600003655872,24722
100028508051,29188
100028508050,36477
100028508053,2628
